Titulo Principal,Titulo Secundario,Autor,N° Ref
Notes from the Underground,,Fyodor Dostoyevsky,313
Sense and Sensibility,,Jane Austen,312
The Art of War,,active 6th century B.C. Sunzi,308
An Inquiry into the Nature and Causes of the Wealth of Nations,,Adam Smith,304
The murder of Roger Ackroyd,,Agatha Christie,303
"Incidents in the Life of a Slave Girl, Written",,Herself by Harriet A.  Jacobs,301
The Ethics of Aristotle,,Aristotle,301
The King James Version of the Bible,,,301
The First Book of Adam and Eve,,Rutherford Hayes Platt,297
Emma,,Jane Austen,290
Cookery and Dining in Imperial Rome,,Apicius,285
The Age of the Reformation,,Preserved Smith,283
Novo dicionário da língua portuguesa,,Cândido de Figueiredo,281
"The Metamorphoses of Ovid, Books I-VII",,Ovid,280
Ethan Frome,,Edith Wharton,274
The Jungle,,Upton Sinclair,268
The Beggar's Opera; to Which is Prefixed the Musick to Each Song,,John Gay,266
Gulliver's Travels into Several Remote Nations of the World,,Jonathan Swift,266
On the Origin of Species By Means of Natural Selection,,Charles Darwin,265
Lysistrata,,Aristophanes,263
Common Sense,,Thomas Paine,262
Pygmalion,,Bernard Shaw,262
The Pickwick Papers,,Charles Dickens,259
Songs of Innocence and of Experience,,William Blake,257
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,,Mary White Rowlandson,257
The Time Machine,,H. G.  Wells,256
The Strange Case of Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,255
Memoirs of Fanny Hill,,John Cleland,255
The Elements of Style,,William Strunk,254
The Reign of Greed,,José Rizal,253
Hard Times,,Charles Dickens,252
Sir Gawayne and the Green Knight,,,248
Anna Karenina,,graf Leo Tolstoy,247
"The Awakening, and Selected Short Stories",,Kate Chopin,247
Paradise Lost,,John Milton,243
The Turn of the Screw,,Henry James,242
The Sorrows of Young Werther,,Johann Wolfgang von Goethe,242
Anthem,,Ayn Rand,242
The Genealogy of Morals,,Friedrich Wilhelm Nietzsche,237
The Sign of the Four,,Arthur Conan Doyle,237
Perpetual Peace: A Philosophical Essay,,Immanuel Kant,236
Uncle Tom's Cabin,,Harriet Beecher Stowe,234
Anabasis,,Xenophon,234
Pascal's Pensées,,Blaise Pascal,233
The Secret Garden,,Frances Hodgson Burnett,233
Essays of Michel de Montaigne — Complete,,Michel de Montaigne,233
Don Juan,,Baron George Gordon Byron Byron,233
The call of the wild,,Jack London,230
An Enquiry Concerning Human Understanding,,David Hume,230
"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose",,,228
Diccionario Ingles-Español-Tagalog,,Sofronio G. Calderón,225
Ethics,,Benedictus de Spinoza,225
Nature,,Ralph Waldo Emerson,223
"The Birth of Tragedy; or, Hellenism and Pessimism",,Friedrich Wilhelm Nietzsche,223
Myths and Legends of Ancient Greece and Rome,,E. M. Berens,221
Phaedrus,,Plato,219
Tribute to Michael Hart,,Majid AlHydar,219
Faust [part 1]. Translated Into English in the Original Metres,,Johann Wolfgang von Goethe,216
"Hamlet, Prince of Denmark",,William Shakespeare,216
Our Mutual Friend,,Charles Dickens,215
Chambers's Twentieth Century Dictionary,,,215
On War,,Carl von Clausewitz,215
The History of Herodotus — Volume 1,,Herodotus,214
Childe Harold's Pilgrimage,,Baron George Gordon Byron Byron,213
"Poems, with The Ballad of Reading Gaol",,Oscar Wilde,213
"Chaucer's Works, Volume 4 — The Canterbury Tales",,Geoffrey Chaucer,212
The Prince and the Pauper,,Mark Twain,211
Symposium,,Plato,210
Siddhartha,,Hermann Hesse,209
Twenty Thousand Leagues under the Sea,,Jules Verne,208
Antiquities of the Jews,,Flavius Josephus,208
The Vampyre; a Tale,,John William Polidori,207
Persuasion,,Jane Austen,206
Through the Looking-Glass,,Lewis Carroll,205
Little Dorrit,,Charles Dickens,204
Just so stories,,Rudyard Kipling,202
Northanger Abbey,,Jane Austen,202
American Notes,,Charles Dickens,202
The Red Record,,Ida B. Wells-Barnett,201
The Republic of Plato,,Plato,201
On the Duty of Civil Disobedience,,Henry David Thoreau,201
Aesop's Fables; a new translation,,Aesop,201
The Works of Edgar Allan Poe — Volume 1,,Edgar Allan Poe,200
Democracy in America — Volume 1,,Alexis de Tocqueville,200
The Castle of Otranto,,Horace Walpole,199
Notre-Dame de Paris - Tome 1,,Victor Hugo,199
Dao De Jing: A Minimalist Translation,,Laozi,198
The Consolation of Philosophy,,Boethius,198
The Red Room,,H. G.  Wells,197
An Essay on Man; Moral Essays and Satires,,Alexander Pope,196
The Duchess of Malfi,,John Webster,196
The Ten Books on Architecture,,Vitruvius Pollio,195
Southern Horrors: Lynch Law in All Its Phases,,Ida B. Wells-Barnett,194
The Social Cancer: A Complete English Version of Noli Me Tangere,,José Rizal,194
The Marriage of Heaven and Hell,,William Blake,193
The Innocents Abroad,,Mark Twain,192
The Old Curiosity Shop,,Charles Dickens,190
The Sea-Gull,,Anton Pavlovich Chekhov,190
The Anglo-Egyptian Sudan: a compendium prepared,,"officers of the Sudan government, Vol. 1",190
The Jungle Book,,Rudyard Kipling,190
The Tempest,,William Shakespeare,190
The Monkey's Paw,,W. W.  Jacobs,189
De Profundis,,Oscar Wilde,189
Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,,,186
"The lesser Key of Solomon, Goetia, the book of evil spirits :",,,186
Nicholas Nickleby,,by Charles Dickens,185
The Travels of Marco Polo — Volume 1,,Marco Polo and da Pisa Rusticiano,185
Martin Chuzzlewit,,Charles Dickens,184
"The Mahabharata of Krishna-Dwaipayana Vyasa, Volume 1",,,183
A Pickle for the Knowing Ones,,Timothy Dexter,182
Macbeth,,William Shakespeare,182
The island of Doctor Moreau,,H. G.  Wells,182
Utopia,,Saint Thomas More,182
Hedda Gabler,,Henrik Ibsen,182
Struwwelpeter: Merry Stories and Funny Pictures,,Heinrich Hoffmann,180
Three Ghost Stories,,Charles Dickens,179
In Praise of Folly,,Desiderius Erasmus,178
The Invisible Man: A Grotesque Romance,,H. G.  Wells,177
Complete Original Short Stories of Guy De Maupassant,,Guy de Maupassant,177
White Fang,,Jack London,176
"The City of God, Volume I",,Bishop of Hippo Saint Augustine,176
The Anglo-Egyptian Sudan: a compendium prepared,,"officers of the Sudan government, Vol. 2",176
"The Twilight of the Idols; or, How to Philosophize with the Hammer. The Antichrist",,Nietzsche,175
A Connecticut Yankee in King Arthur's Court,,Mark Twain,173
Dombey and Son,,Charles Dickens,172
The Merchant of Venice,,William Shakespeare,171
"The story of the universe, told",,great scientists and popular authors. Volume 1,170
The Eyes Have It,,Philip K. Dick,170
The Communist Manifesto,,Friedrich Engels and Karl Marx,169
The History of the Decline and Fall of the Roman Empire,,Edward Gibbon,167
Three Men in a Boat,,Jerome K.  Jerome,167
I. Beówulf: an Anglo-Saxon poem. II. The fight at Finnsburh: a fragment.,,,164
The Nuttall Encyclopædia,,P. Austin Nuttall,164
The Age of Innocence,,Edith Wharton,164
La Odisea,,Homer,164
The Trial,,Franz Kafka,162
The Cask of Amontillado,,Edgar Allan Poe,162
The Sun Also Rises,,Ernest Hemingway,160
The Flowers of Evil,,Charles Baudelaire,160
The Phantom of the Opera,,Gaston Leroux,160
Mi Ultimo Adiós,,José Rizal,159
The Iliad,,Homer,159
A Concise Dictionary of Middle English from A.D. 1150 to 1580,,A. L.  Mayhew and Walter W.  Skeat,159
Les Fleurs du Mal,,Charles Baudelaire,159
Mrs. Dalloway,,Virginia Woolf,158
Tess of the d'Urbervilles: A Pure Woman,,Thomas Hardy,158
Die Verwandlung,,Franz Kafka,157
North and South,,Elizabeth Cleghorn Gaskell,157
Apology,,Plato,157
"Divine Comedy, Longfellow's Translation, Hell",,Dante Alighieri,155
1001 задача для умственного счета,,Sergei Aleksandrovich Rachinskii,155
A History of the Philippines,,David P. Barrows,155
The Uncommercial Traveller,,Charles Dickens,155
The Red Badge of Courage: An Episode of the American Civil War,,Stephen Crane,154
The Devil's Dictionary,,Ambrose Bierce,154
The Haunted Man and the Ghost's Bargain,,Charles Dickens,153
Baron Trump's Marvellous Underground Journey,,Ingersoll Lockwood,153
The Tragedy of King Lear,,William Shakespeare,153
The Idiot,,Fyodor Dostoyevsky,153
The Tenniel Illustrations for Carroll's Alice in Wonderland,,John Tenniel,152
"The Philippine Islands, 1493-1898, Volume 33, 1519-1522",,Antonio Pigafetta,152
Pictures from Italy,,Charles Dickens,152
The Decameron of Giovanni Boccaccio,,Giovanni Boccaccio,151
Notre-Dame de Paris,,Victor Hugo,151
"The Thousand and One Nights, Vol. I.",,,151
The Social Contract & Discourses,,Jean-Jacques Rousseau,150
El paraíso perdido,,John Milton,150
Rip Van Winkle,,Washington Irving,149
The Lady with the Dog and Other Stories,,Anton Pavlovich Chekhov,149
Leaves of Grass,,Walt Whitman,146
Cyrano de Bergerac,,Edmond Rostand,146
The Waste Land,,T. S.  Eliot,145
Uncle Vanya: Scenes from Country Life in Four Acts,,Anton Pavlovich Chekhov,145
A Child's History of England,,Charles Dickens,144
A Vindication of the Rights of Woman,,Mary Wollstonecraft,144
R.U.R.,,Karel Čapek,144
"The Lives of the Twelve Caesars, Complete",,Suetonius,144
The Jewish State,,Theodor Herzl,143
Around the World in Eighty Days,,Jules Verne,142
"Shakespearean Tragedy: Lectures on Hamlet, Othello, King Lear, Macbeth",,A. C.  Bradley,142
Twelve Years a Slave,,Solomon Northup,142
Medea of Euripides,,Euripides,142
The art of money getting :,,P. T.  Barnum,141
"Bartleby, the Scrivener: A Story of Wall-Street",,Herman Melville,139
Twelfth Night,What You Will,William Shakespeare,138
A First Spanish Reader,,Alfred Remy and Erwin W.  Roessler,138
The Poetics of Aristotle,,Aristotle,137
"Ang ""Filibusterismo""",,José Rizal,137
"Le comte de Monte-Cristo, Tome I",,Alexandre Dumas and Auguste Maquet,137
The Antichrist,,Friedrich Wilhelm Nietzsche,136
Trois femmes,,Pierre Mille,135
Bede's Ecclesiastical History of England,,Saint the Venerable Bede,135
A Journal of the Plague Year,,Daniel Defoe,135
The Online World,,Odd De Presno,135
"The Philippine Islands, 1493-1898 — Volume 07 of 55",,,134
The Tale of Peter Rabbit,,Beatrix Potter,134
The three musketeers,,Alexandre Dumas and Auguste Maquet,134
"The Happy Prince, and Other Tales",,Oscar Wilde,133
The Anabasis of Alexander,,Arrian,133
"The History of Don Quixote, Volume 1, Complete",,Miguel de Cervantes Saavedra,133
The Mysterious Affair at Styles,,Agatha Christie,132
Mosses from an old manse,,Nathaniel Hawthorne,132
