Titulo Principal,Titulo Secundario,Autor,N° Ref
"Gaskell, Elizabeth Cleghorn",,,1867
"Rizal, José",,,1818
"Swift, Jonathan",,,1803
"Tolstoy, Leo, graf",,,1795
"Kafka, Franz",,,1762
"Hugo, Victor",,,1680
"Cervantes Saavedra, Miguel de",,,1678
"Von Arnim, Elizabeth",,,1671
"Joyce, James",,,1662
"Fielding, Henry",,,1632
"Fitzgerald, F. Scott",,,1616
"Wagner, Richard",,,1607
"Stoker, Bram",,,1591
"Doré, Gustave",,,1587
"Brock, C. E.",,,1545
"Conrad, Joseph",,,1475
"Wyllie, David",,,1465
Dante Alighieri,,,1453
"Verne, Jules",,,1426
"London, Jack",,,1349
"Gilman, Charlotte Perkins",,,1344
"Kemble, E. W.",,,1335
"Chesterton, G. K.",,,1306
"Pope, Alexander",,,1302
"Morley, Henry",,,1280
"Goethe, Johann Wolfgang von",,,1276
"Kipling, Rudyard",,,1271
"James, Henry",,,1264
"Chekhov, Anton Pavlovich",,,1230
"Russell, Bertrand",,,1225
"Baum, L. Frank",,,1222
"Lang, Andrew",,,1207
"Defoe, Daniel",,,1179
"Du Bois, W. E. B.",,,1161
"Locke, John",,,1151
"Leech, John",,,1140
"Levy, Oscar",,,1078
"Butler, Samuel",,,1063
"Balzac, Honoré de",,,1060
"Rackham, Arthur",,,1057
"Schmid, Christoph von",,,1047
"Christie, Agatha",,,1040
"Grimm, Jacob",,,1034
"Grimm, Wilhelm",,,1034
"Burton, Richard Francis, Sir",,,1007
"Wharton, Edith",,,1005
"Kant, Immanuel",,,1005
"Thoreau, Henry David",,,1003
"Shaw, Bernard",,,996
"Brontë, Charlotte",,,990
"Maupassant, Guy de",,,983
"Scott, Walter",,,964
"Long, William J.",,,955
"Townsend, F. H.",,,940
"Bond, Nelson S.",,,915
"Robertson, James Alexander",,,905
"Bull, Charles Livingston",,,904
"Mill, John Stuart",,,897
"Hobbes, Thomas",,,882
"Hall, J. Lesslie",,,872
"Maude, Aylmer",,,866
"Augustine, Saint, Bishop of Hippo",,,850
"Derbyshire, Charles E.",,,846
"Machiavelli, Niccolò",,,844
"Murray, Gilbert",,,840
"Blair, Emma Helen",,,835
"Bell, George",,,815
Voltaire,,,811
"Maude, Louise",,,808
"Bourne, Edward Gaylord",,,805
"Douglass, Frederick",,,797
"Ormsby, John",,,793
"Common, Thomas",,,787
"Jonson, Ben",,,785
"Buckley, Theodore Alois",,,779
"Fuqua, Robert",,,755
"Burroughs, Edgar Rice",,,743
"Barrie, J. M.",,,739
"Flaubert, Gustave",,,736
"Brontë, Emily",,,735
"Burnett, Frances Hodgson",,,726
"Proust, Marcel",,,725
"Hardy, Thomas",,,724
"Darwin, Charles",,,701
"Chambers, Robert W.",,,701
Aristotle,,,689
"Benét, Stephen Vincent",,,685
"McCauley, Harold W.",,,676
"Marlowe, Christopher",,,669
"Byron, George Gordon Byron, Baron",,,669
"Malory, Thomas, Sir",,,669
"Marriott, W. K.",,,663
Aesop,,,652
"Milne, A. A.",,,648
"Ruskin, John",,,647
"Milton, John",,,645
"Cary, Henry Francis",,,640
"Le Fanu, Joseph Sheridan",,,639
"Lawrence, D. H.",,,620
"Zimmern, Helen",,,619
"Hellis, Nellie",,,615
Xenophon,,,610
"Emerson, Ralph Waldo",,,609
"Wodehouse, P. G.",,,609
"Equiano, Olaudah",,,607
"Hapgood, Isabel Florence",,,598
"Pusey, E. B.",,,594
"Bierce, Ambrose",,,585
"Chaucer, Geoffrey",,,574
"Roosevelt, Theodore",,,574
"Schopenhauer, Arthur",,,572
"Ogden, C. K.",,,571
"Craig, Austin",,,570
"Tagore, Rabindranath",,,567
Sophocles,,,567
"Zola, Émile",,,564
"Wittgenstein, Ludwig",,,564
"Yeats, W. B.",,,563
"Dakyns, Henry Graham",,,562
"Hume, David",,,561
"Steele, Robert",,,555
"Record, Robert",,,555
"Galsworthy, John",,,554
"Sacro Bosco, Joannes de, active 1230",,,550
"Alexander, de Villa Dei",,,550
"Blake, William",,,548
"Riley, Henry T.",,,546
"Potter, Beatrix",,,543
"Franklin, Benjamin",,,537
Ovid,,,536
"Thompson, Silvanus P.",,,535
"Lebert, Marie",,,532
"Rousseau, Jean-Jacques",,,531
"MacDonald, George",,,526
"Eliot, T. S.",,,524
"Lytton, Edward Bulwer Lytton, Baron",,,521
"Cook, Albert S.",,,520
"Shepard, Ernest H.",,,509
"Haggard, H. Rider",,,507
"Stowe, Harriet Beecher",,,504
"Dyce, Alexander",,,504
"Spenser, Edmund",,,491
"Seaman, Owen",,,488
"Yonge, Charlotte M.",,,485
"Hesse, Hermann",,,484
"Glaspell, Susan",,,484
"Ludovici, Anthony M.",,,481
"Sinclair, Upton",,,480
Vatsyayana,,,479
"Skeat, Walter W.",,,478
"Johnson, William Savage",,,475
"Riis, Jacob A.",,,474
"Howells, William Dean",,,474
"Freud, Sigmund",,,469
"Turgenev, Ivan Sergeevich",,,469
"Wolf, Edwin",,,468
"Drummond, Henry",,,465
"Dick, Philip K.",,,464
"Indrajit, Bhagavanlal",,,463
"Bhide, Shivaram Parashuram",,,463
Aristophanes,,,461
United States. Work Projects Administration,,,460
"Collins, Wilkie",,,460
"Stiles, William Curtis",,,459
"Scott, Robert",,,459
"Baudelaire, Charles",,,459
"Kingston, William Henry Giles",,,455
"Blackwood, Algernon",,,453
"Longfellow, Henry Wadsworth",,,452
"Nesbit, E.",,,451
"Pushkin, Aleksandr Sergeevich",,,450
Thucydides,,,450
"Chambers, Robert",,,448
"Belloc, Hilaire",,,447
"Burnand, F. C.",,,447
"Marcus Aurelius, Emperor of Rome",,,444
"Henry, O.",,,444
"Emshwiller, Ed",,,442
"Trollope, Anthony",,,442
"Cicero, Marcus Tullius",,,440
"Lü, Kun",,,438
Virgil,,,436
"Chambers, William",,,432
"Montaigne, Michel de",,,431
"Leblanc, Maurice",,,430
"Sunzi, active 6th century B.C.",,,429
"Ballantyne, R. M.",,,429
"Cooper, James Fenimore",,,423
"Wells-Barnett, Ida B.",,,422
"Bainville, Jacques",,,419
Molière,,,419
"Crane, Walter",,,418
"Giles, Lionel",,,413
"James, William",,,410
"Child, Lydia Maria",,,408
"Jacobs, W. W.",,,408
"Dewey, John",,,407
"Smith, E. Boyd",,,405
"Bell, Clara",,,405
Valmiki,,,404
"Gosse, Edmund",,,403
Library of Congress. Copyright Office,,,403
"Andersen, H. C.",,,403
"Warner, Charles Dudley",,,402
"Alger, Horatio, Jr.",,,398
"Carlyle, Thomas",,,396
"Neill, John R.",,,394
"Schiller, Friedrich",,,393
"Henty, G. A.",,,393
"McMaster, Albert Cohn",,,390
"Quesada, Louise Charlotte Garstin",,,390
"Henderson, A. E.",,,390
"Woolf, Virginia",,,388
"Pérez Galdós, Benito",,,388
"Patten, William",,,387
"Baring-Gould, S.",,,387
"Morris, William",,,386
"Wauchope, George Armstrong",,,383
"Crawley, Richard",,,383
"France, Anatole",,,379
"Gibbon, Edward",,,375
"Poblete, Pascual Hicaro",,,375
"Jókai, Mór",,,374
"Frazer, James George",,,374
"Paine, Thomas",,,373
"Salten, Felix",,,372
"Smith, Adam",,,372
"Vonnegut, Kurt",,,371
"Tocqueville, Alexis de",,,371
"Lovecraft, H. P.",,,367
"Bacon, Francis",,,367
"Teixeira de Mattos, Alexander",,,367
"Reeve, Henry",,,366
"Archer, William",,,366
"Gleichen,",,,366
"Pine, Frank Woodworth",,,365
"Kennedy, J. M.",,,363
"Gogol, Nikolai Vasilevich",,,362
"Gibran, Kahlil",,,361
"Aveling, Eleanor Marx",,,361
"Thackeray, William Makepeace",,,360
"Macaulay, G. C.",,,357
"Jerome, Jerome K.",,,357
"Hazlitt, William Carew",,,356
"Fenn, George Manville",,,356
"Griffith, Ralph T. H.",,,355
"Stone, Marcus",,,354
"Clark, William George",,,353
"Machen, Arthur",,,353
"Starr, Frederick",,,352
"Josephus, Flavius",,,352
Plutarch,,,352
"Descartes, René",,,351
"Kean, Charles John",,,350
"Bennett, Arnold",,,349
"Crane, Stephen",,,346
"Gautier, Théophile",,,339
"Engels, Friedrich",,,339
"Ebers, Georg",,,338
"Harte, Bret",,,336
"Wollstonecraft, Mary",,,335
Euripides,,,331
"Meiklejohn, J. M. D.",,,331
"Blasco Ibáñez, Vicente",,,330
"Luther, Martin",,,330
"Whiston, William",,,330
"Borrow, George",,,329
"Marx, Karl",,,329
"Blavatsky, H. P.",,,328
"Whitman, Walt",,,327
Herodotus,,,327
"Strindberg, August",,,325
"Hearn, Lafcadio",,,324
"Lowell, James Russell",,,324
"Rhead, Louis",,,323
"Milman, Henry Hart",,,322
"Coleridge, Samuel Taylor",,,321
"Ganguli, Kisari Mohan",,,320
"Higginson, Thomas Wentworth",,,317
"Burgess, Thornton W.",,,317
"Goldsmith, Oliver",,,317
"Macaulay, Thomas Babington Macaulay, Baron",,,316
"Taylor, Bayard",,,315
"Garis, Howard Roger",,,312
"Mencken, H. L.",,,312
"Cruikshank, George",,,311
"Saintsbury, George",,,309
"Tenniel, John",,,308
"Walpole, Horace",,,303
"Orczy, Emmuska Orczy, Baroness",,,303
United States. Central Intelligence Agency,,,302
"Mann, Thomas",,,301
"Jacobs, Harriet A.",,,301
"Holbein, Hans",,,300
"Gay, John",,,300
"Hoffmann, Heinrich",,,299
"Graham, George R.",,,299
"Wheatley, Henry B.",,,297
"Bunyan, John",,,297
"Platt, Rutherford Hayes",,,297
"Hemingway, Ernest",,,297
Apicius,,,296
"Erasmus, Desiderius",,,296
"Morris, Richard",,,295
"Glover, John, librarian of Trinity College, Cambridge",,,295
"Lockwood, Ingersoll",,,295
"Chopin, Kate",,,295
"Figueiredo, Cândido de",,,294
"La Fontaine, Jean de",,,294
"Rostand, Edmond",,,293
"Cleland, John",,,292
"Garrett, Randall",,,292
"Gorky, Maksim",,,291
"Finlay, Virgil",,,289
"Cotton, Charles",,,289
"Stratemeyer, Edward",,,288
"Motley, John Lothrop",,,288
"Vernon Jones, V. S.",,,287
"Wordsworth, William",,,287
"Vehling, Joseph Dommers",,,285
"Johnson, Samuel",,,283
"Tacitus, Cornelius",,,283
"Sand, George",,,283
"Smith, Preserved",,,283
"Marryat, Frederick",,,281
"Samuel, Horace Barnett",,,281
"Grahame, Kenneth",,,281
"Clarke, Harry",,,281
"Fraser, Claud Lovat",,,279
"Saunders, T. Bailey",,,279
"Winter, Milo",,,277
"Meredith, George",,,277
"Spinoza, Benedictus de",,,276
"Oliphant, Mrs.",,,276
"Andreyev, Leonid",,,275
"Dryden, John",,,273
"Pyle, Howard",,,273
"Sue, Eugène",,,273
"Howard, Robert E.",,,273
"Dods, Marcus",,,273
"Lindsay, Norman",,,271
"Leroux, Gaston",,,271
"Parker, Gilbert",,,270
"Elwes, R. H. M.",,,266
"Freas, Kelly",,,264
"Rowlandson, Mary White",,,264
"Davidson, Thomas",,,263
"Holmes, Oliver Wendell",,,263
"Lindsay, Jack",,,263
"Paget, Walter",,,262
"Reid, Mayne",,,261
"Calderón, Sofronio G.",,,260
"Standish, Burt L.",,,258
"Boylan, R. Dillon",,,257
"Maeterlinck, Maurice",,,257
"Queirós, Eça de",,,256
"De Quincey, Thomas",,,256
"Leinster, Murray",,,255
"Maugham, W. Somerset",,,255
"Rand, Ayn",,,254
"Strunk, William",,,254
"Stockton, Frank R.",,,253
"Kingsley, Charles",,,253
"Wiggin, Kate Douglas Smith",,,253
"Pascal, Blaise",,,251
"Le Queux, William",,,249
"Marriage, Ellen",,,248
"Wormeley, Katharine Prescott",,,247
"Vizetelly, Ernest Alfred",,,246
"Nicoll, W. Robertson",,,245
"Grey, Zane",,,245
"Daudet, Alphonse",,,245
"Forester, Thomas",,,244
"Ellis, Havelock",,,244
"Singleton, Esther",,,244
"Southey, Robert",,,243
"Yule, Henry, Sir",,,242
Laozi,,,242
"Tennyson, Alfred Tennyson, Baron",,,241
"Atkinson, William Walker",,,240
"Jacobs, Joseph",,,239
"Jefferson, Thomas",,,238
"Addison, Joseph",,,237
Suetonius,,,236
"Smith, Mary Campbell",,,236
Boethius,,,235
"Hammerton, J. A.",,,234
"Linnell, Bruce R.",,,234
"Thomson, Alexander, M.D.",,,234
"Willis, Nathaniel Parker",,,233
"Quiller-Couch, Arthur",,,231
"Lever, Charles James",,,230
"Ellis, Edward Sylvester",,,230
"Selby-Bigge, L. A.",,,230
"Burke, Edmund",,,229
"Braddon, M. E.",,,228
"Lawrence, Frederic William",,,228
"Kirtlan, Ernest J. B.",,,228
"Churchill, Winston",,,226
"Washington, Booker T.",,,225
"Rogers, Walter S.",,,225
"Sharp, Robert",,,224
"Harrison, James A.",,,224
"Haussmann, William A.",,,223
"Polo, Marco",,,223
"Webster, John",,,223
"Rolland, Romain",,,222
"Cather, Willa",,,221
"Camões, Luís de",,,221
"Berens, E. M.",,,221
"Castelo Branco, Camilo",,,220
"Brinton, Daniel G.",,,220
"AlHydar, Majid",,,219
"Rusticiano, da Pisa",,,219
"Cordier, Henri",,,219
"Lamb, Charles",,,219
"Clausewitz, Carl von",,,218
"Green, Anna Katharine",,,218
"Cohn, Paul V.",,,217
"Polidori, John William",,,216
"Keats, John",,,216
"Hayashi, Kiyotoshi",,,215
"Graham, J. J.",,,215
"Steele, Richard, Sir",,,215
"Rhys, Ernest",,,215
"Terry, W. E.",,,215
"Mérimée, Prosper",,,215
"Flameng, François",,,214
"Waley, Arthur",,,214
"De Laurence, L. W.",,,213
"Benson, E. F.",,,213
"Boccaccio, Giovanni",,,213
"Dreiser, Theodore",,,213
"FitzGerald, Edward",,,211
"Stewart, Aubrey",,,211
"Abbott, Jacob",,,210
Vitruvius Pollio,,,209
"Seltzer, Thomas",,,209
"Yonge, Charles Duke",,,208
"Hope, Laura Lee",,,208
"Petrarca, Francesco",,,208
"Conway, Moncure Daniel",,,207
"Synge, J. M.",,,207
"Mabie, Hamilton Wright",,,206
"Mille, Pierre",,,205
"Richardson, Samuel",,,204
"Ward, Humphry, Mrs.",,,203
"Huxley, Thomas Henry",,,203
"Caldecott, Randolph",,,203
"Thwaites, Reuben Gold",,,203
"James, H. R.",,,203
"Oppenheim, E. Phillips",,,203
"More, Thomas, Saint",,,202
"Baldwin, James",,,202
"Madison, James",,,201
"Hume, Fergus",,,201
"Veitch, John",,,200
"Perrault, Charles",,,200
"Collodi, Carlo",,,200
"Guizot, François",,,199
"Pigafetta, Antonio",,,199
"Upton, George P.",,,199
"Baroja, Pío",,,199
"Wells, Carolyn",,,198
"Pound, Ezra",,,198
Snorri Sturluson,,,198
"Roberts, Charles G. D., Sir",,,197
"Lincoln, Abraham",,,197
"Lane-Poole, Stanley",,,197
"Newton, Isaac",,,196
"Orban, Paul",,,196
"Burroughs, John",,,195
"Seneca, Lucius Annaeus",,,195
"Hamilton, Alexander",,,194
"Weston, Jessie L.",,,194
"Ford, H. J.",,,193
"Browning, Elizabeth Barrett",,,193
"Knight, William Angus",,,192
"Grant, James",,,192
"Pepys, Samuel",,,192
Stendhal,,,191
"Long, George",,,191
"Harvey, William",,,190
"Hills, E. C.",,,190
"Wood, James, Rev.",,,189
"Cannon, Richard",,,189
"Paine, Albert Bigelow",,,189
"Flaxman, John",,,189
"Porter, Eleanor H.",,,188
"Rinehart, Mary Roberts",,,188
"Besant, Walter",,,188
"Braybrooke, Richard Griffin, Baron",,,187
"Segalá y Estalella, Luis",,,187
"Jay, John",,,187
"Bright, Mynors",,,185
"Fabre, Jean-Henri",,,185
"Schoenherr, John",,,185
"Alarcón, Pedro Antonio de",,,185
"Beardsley, Aubrey",,,185
"Meade, L. T.",,,185
"Optic, Oliver",,,185
"Brill, A. A.",,,184
"Legge, James",,,184
"Lamb, Mary",,,183
"Greenaway, Kate",,,183
American Thread Company,,,183
"Vasari, Giorgio",,,183
"Coolidge, Susan",,,182
"Burt, Mary E.",,,182
"Payne, John",,,182
"Dexter, Timothy",,,182
"Martineau, Harriet",,,182
"Giles, J. A.",,,182
"Harris, Joel Chandler",,,181
"Koteliansky, S. S.",,,179
"Shuckburgh, Evelyn S.",,,178
"Markham, Clements R.",,,178
"Webster, Jean",,,178
Machado de Assis,,,178
"Talvio, Maila",,,177
"Müller, F. Max",,,177
"Lear, Edward",,,177
"Barrows, David P.",,,177
"Zangwill, Israel",,,177
Aeschylus,,,177
"Čapek, Karel",,,176
"Casas, Bartolomé de las",,,176
"Oman, Charles",,,176
"Sologub, Fyodor",,,176
"Lessing, Gotthold Ephraim",,,176
"Hogarth, C. J.",,,175
"Ross, Robert Baldwin",,,175
"Nohl, Ludwig",,,175
"Sabatini, Rafael",,,175
"Eliot, Charles William",,,175
"Besant, Annie",,,175
"Buchan, John",,,175
"Harper, Charles G.",,,174
"Seton, Ernest Thompson",,,174
"De Vere, Gaston du C.",,,174
"Browning, Robert",,,173
"Congreve, William",,,173
"Cowper, William",,,172
"Dulac, Edmund",,,172
"Johnson, Rossiter",,,171
"Lagerlöf, Selma",,,171
"Mansfield, Katherine",,,171
"Hazlitt, William",,,170
"Loti, Pierre",,,170
"Silverberg, Robert",,,170
"Mason, Daniel Gregory",,,170
"Newman, John Henry",,,169
"Browne, Hablot Knight",,,169
"Mayhew, A. L.",,,169
"Cole, G. D. H.",,,168
"Vestal, Herman B.",,,168
Petronius Arbiter,,,168
"Thurston, Edgar",,,168
"Dunsany, Lord",,,168
"Leslie, Madeline",,,168
"Burgess, Gelett",,,167
"Piper, H. Beam",,,167
"Lane, Edward William",,,167
"Butcher, S. H.",,,167
"Lönnrot, Elias",,,166
"Kuprin, A. I.",,,166
"Safford, Mary J.",,,166
"Giles, Herbert Allen",,,166
"Crawford, F. Marion",,,166
"Wall, Charles Heron",,,165
"Smiles, Samuel",,,164
"Nuttall, P. Austin",,,164
"Honig, Winfried",,,164
"Smith, Jessie Willcox",,,163
"McGuffey, William Holmes",,,163
"Abbott, Edwin Abbott",,,163
"Onerva, L.",,,162
"Barnum, P. T.",,,162
"Humboldt, Alexander von",,,161
"Wallace, Grace, Lady",,,161
"Horne, Charles F.",,,161
"Arnold, Edwin, Sir",,,160
"Brehm, Alfred Edmund",,,160
"Anderson, Rasmus Björn",,,160
"Scott, Cyril",,,160
"Hall, E. Raymond",,,160
"Scott-Moncrieff, C. K.",,,159
"Keller, Helen",,,158
"Lewis, Sinclair",,,158
"Dickinson, Emily",,,158
"Ralph, Lester",,,157
"Barbour, Ralph Henry",,,157
"Griffis, William Elliot",,,157
"Davis, Richard Harding",,,157
"Esenwein, J. Berg",,,157
"Morley, John",,,157
"Roget, Peter Mark",,,157
"Benson, Arthur Christopher",,,156
"Sewell, Anna",,,156
"Rachinskii, Sergei Aleksandrovich",,,155
"Disraeli, Benjamin, Earl of Beaconsfield",,,155
"Masters, Edgar Lee",,,154
"Johnson, Charles Howard",,,154
"Bradley, A. C.",,,154
"Hale, Edward Everett",,,154
"Herzl, Theodor",,,153
"Martin, Eva",,,153
"Firebaugh, W. C.",,,153
"Van Dongen, H. R.",,,152
"Miller, Francis Trevelyan",,,152
"Millar, H. R.",,,152
"Burney, Fanny",,,151
"Poole, Edward Stanley",,,151
"Cobb, Irvin S.",,,151
"Sinclair, May",,,151
"Playfair, Nigel",,,150
"Relyea, C. M.",,,150
"Selver, Paul",,,150
"Molesworth, Mrs.",,,150
"Vaughan, Robert",,,150
"Sterne, Laurence",,,150
"Rosell, Cayetano",,,150
"Casanova, Giacomo",,,149
"Santayana, George",,,149
"Williams, George Alfred",,,148
"Sharp, R. Farquharson",,,148
"Symonds, John Addington",,,148
"Wu, Jianren",,,148
"Hamilton, Edmond",,,148
"Wrenn, Charles L.",,,148
"Hegel, Georg Wilhelm Friedrich",,,148
"Cady, Harrison",,,147
"Anderson, Margaret C.",,,147
"Brooke, L. Leslie",,,147
"Sienkiewicz, Henryk",,,146
"Thomas, Gladys",,,146
"Guillemard, Mary F.",,,146
"Jefferies, Richard",,,146
"Richards, Laura Elizabeth Howe",,,146
"Sayce, A. H.",,,146
"Spyri, Johanna",,,146
"Owen, Robert Emmett",,,146
"Hichens, Robert",,,145
"Hoffmann, E. T. A.",,,145
"Charton, Édouard",,,145
"Mariano, Patricio",,,145
"Smith, E. E.",,,145
"Sayers, Dorothy L.",,,145
"Baltzell, W. J.",,,144
"Leacock, Stephen",,,144
"Tapper, Thomas",,,143
"Falkner, John Meade",,,143
"Bein, Alex",,,143
"Lipsky, Louis",,,143
"Wyeth, N. C.",,,143
Epictetus,,,143
"Higley, William Kerr",,,143
"Dobson, Austin",,,142
Confucius,,,142
"Korolenko, Vladimir Galaktionovich",,,142
"Reynolds, Francis J.",,,142
Erckmann-Chatrian,,,142
"Krehbiel, Henry Edward",,,142
"Northup, Solomon",,,142
"Locke, William John",,,142
"Chesnutt, Charles W.",,,141
"Earle, Alice Morse",,,141
"Huneker, James",,,141
"Westerman, Percy F.",,,141
"Ingersoll, Robert Green",,,140
"O'Brien, Edward J.",,,140
"Bates, Harry",,,140
"Allen, Grant",,,140
"Muir, John",,,139
"Rainey, W.",,,139
"Scott, A. O.",,,138
"Leiber, Fritz",,,138
"James, M. R.",,,138
"Roessler, Erwin W.",,,138
"Abbott, Thomas Kingsmill",,,138
"Remy, Alfred",,,138
"Michelet, Jules",,,137
Northern Nut Growers Association,,,137
"Bédier, Joseph",,,137
"Spence, Lewis",,,137
"Turpin, Edna Henry Lee",,,137
"McManus, Blanche",,,136
"Fogarty, Thomas",,,136
"Hurlbut, Jesse Lyman",,,136
"Lodge, Henry Cabot",,,136
"Frost, Robert",,,135
"De Presno, Odd",,,135
"Bede, the Venerable, Saint",,,135
"Guerber, H. A.",,,135
"Bangs, John Kendrick",,,135
"Sellar, A. M.",,,135
"Smith, George O.",,,135
"Ainsworth, William Harrison",,,135
"Wraxall, Lascelles, Sir",,,135
"Aimard, Gustave",,,135
"Matull, Kurt",,,134
"Appleton, Victor",,,134
"Menéndez y Pelayo, Marcelino",,,134
"Chinnock, Edward James",,,133
Arrian,,,133
"Claretie, Jules",,,133
"Blankensee, Theo von",,,133
"Darío, Rubén",,,133
"Bone, Jesse F.",,,133
"Anderson, Sherwood",,,133
"Housman, A. E.",,,133
"Stein, Gertrude",,,132
"Bridgman, L. J.",,,132
"Tarkington, Booth",,,132
"Aranda y Sanjuan, Manuel",,,132
"Pardo Bazán, Emilia, condesa de",,,132
"Heine, Heinrich",,,132
"Ward, Grady",,,131
"Lucian, of Samosata",,,131
"Wyss, Johann David",,,131
"Foxe, John",,,131
"Della Chiesa, Carol",,,131
"James, G. P. R.",,,131
"Walton, Bryce",,,130
"Patmore, Coventry",,,130
"Bindloss, Harold",,,130
"Leland, Charles Godfrey",,,130
"Waller, A. R.",,,130
"Kuperman, Leon",,,130
"Turner, Frederick Jackson",,,130
"Potapenko, I. N.",,,129
"Durkheim, Émile",,,129
"Edgeworth, Maria",,,128
"Williamson, A. M.",,,128
"Reid, Clement",,,128
"Huysmans, J.-K.",,,128
"D'Annunzio, Gabriele",,,128
"Palacio Valdés, Armando",,,128
"Mackail, J. W.",,,128
"Strang, Herbert",,,127
"Summers, Leo",,,127
"Ariosto, Lodovico",,,127
"Goble, Warwick",,,127
"Freeman, Mary Eleanor Wilkins",,,127
"Calderón de la Barca, Pedro",,,127
"Donne, John",,,127
"Valéry, Paul",,,127
"Lucas, E. V.",,,126
"Saltykov, Mikhail Evgrafovich",,,126
"Mahan, A. T.",,,126
"Tangerud, Odd",,,126
"Ashton, John",,,126
"Einstein, Albert",,,126
"Artsybashev, M.",,,126
"Johnston, Annie F.",,,126
"Abbott, John S. C.",,,126
Livy,,,125
"Collingwood, Harry",,,125
"Keller, Arthur Ignatius",,,125
"Radcliffe, Ann Ward",,,125
"Churchill, Allen L.",,,125
"Bourget, Paul",,,125
"Stratton-Porter, Gene",,,124
"Marlowe, Stephen",,,124
"Phillpotts, Eden",,,124
"Couperus, Louis",,,124
"Garshin, V. M.",,,124
"Gaboriau, Emile",,,124
"Vaknin, Samuel",,,124
"Shelley, Percy Bysshe",,,124
"Brazil, Angela",,,124
"Copeland, Charles",,,124
"Semenov, S. T.",,,124
"Grant, Ulysses S.",,,124
"Townsend, George Fyler",,,123
"Warrack, G.",,,123
"Macy, John Albert",,,123
"Denslow, W. W.",,,123
"Beerbohm, Max, Sir",,,123
"Le Gallienne, Richard",,,123
"Kataja, Väinö",,,123
"Julian, of Norwich",,,123
"Mee, Arthur",,,123
"Walpole, Hugh",,,122
United States,,,122
"Bracco, Roberto",,,122
"Apollonius, Rhodius",,,122
"Leslie, Eliza",,,122
"Wedekind, Frank",,,122
"Rabelais, François",,,121
"Sibbald, James Romanes",,,121
"Allen, James",,,121
"Kleiser, Grenville",,,121
"Anderson, Poul",,,121
"Dunbar, Paul Laurence",,,121
"Mudie, H. Bolingbroke",,,121
"Pu, Songling",,,121
"Mayhew, Henry",,,121
"Mikszáth, Kálmán",,,121
"Frank, Waldo David",,,121
Omar Khayyam,,,121
"Li, Boyuan",,,120
"Li, Bai",,,120
"De Sanctis, Francesco",,,120
"Hakluyt, Richard",,,120
"Parrish, Maxfield",,,120
"Leighton, Alexander",,,120
"Weir, Harrison",,,120
"Tracy, Louis",,,120
"Bergson, Henri",,,120
"Motteux, Peter Anthony",,,120
"Herford, Oliver",,,120
"Seaton, R. C.",,,120
"Paul, Frank R.",,,119
"Unamuno, Miguel de",,,119
"Haldane, R. B. Haldane",,,119
"Field, Claud",,,119
"Browne, Gordon",,,119
"Colum, Padraic",,,119
Project Gutenberg,,,119
"Dodge, Mary Mapes",,,119
"Matthews, Brander",,,118
"Gerstäcker, Friedrich",,,118
"Spiers, A.",,,118
"Holley, Marietta",,,118
"Bailey, Arthur Scott",,,118
"Webster, Noah",,,118
"Cantù, Cesare",,,118
"Montagu, Basil",,,118
"Brooke, Rupert",,,118
"Francis, Dick",,,118
"Kemp, J.",,,117
"Caxton, William",,,117
"Curtis, George William",,,117
"Stacpoole, H. De Vere",,,117
"Taine, Hippolyte",,,117
"Bradbury, Ray",,,117
"Cole, Mabel Cook",,,117
"Inchbald, Mrs.",,,117
"Blanchard, Amy Ella",,,117
"Musset, Alfred de",,,117
"Bulfinch, Thomas",,,117
"Branch, Stephen H.",,,116
"Curtin, Jeremiah",,,116
"Caine, Hall, Sir",,,116
"Tieck, Ludwig",,,116
"Urquhart, Thomas, Sir",,,116
"Hancock, H. Irving",,,116
"Church, Alfred John",,,116
"Reade, Charles",,,116
"Altsheler, Joseph A.",,,116
"Grote, George",,,116
"Wilson, John Mackay",,,116
"O'Neill, Rose Cecil",,,115
"Thiers, Adolphe",,,115
"Hudson, W. H.",,,115
"Hotten, John Camden",,,115
"Gregory, Lady",,,115
"Abelard, Peter",,,115
"Luo, Guanzhong",,,115
"Byington, Steven T.",,,115
"Kirk, Maria Louise",,,115
"Swain, Joseph Ward",,,115
"Cook, James",,,114
"Moore, Thomas",,,114
"Purves, David Laing",,,114
"Holmes, Oliver Wendell",,,114
Horace,,,114
"Bellamy, Edward",,,113
"Coleridge, Ernest Hartley",,,113
"Castiglione, Baldassarre, conte",,,113
"Opdycke, Leonard Eckstein",,,113
"Sheridan, Richard Brinsley",,,113
"Gibson, Charles Dana",,,113
"Teresa, of Avila, Saint",,,113
"Morris, Charles",,,113
"Buchanan, Joseph R.",,,113
"Wolff, John U.",,,113
"Goldfrap, John Henry",,,112
"Stables, Gordon",,,112
"Otis, James",,,112
"Hough, Emerson",,,112
"Aldrich, Thomas Bailey",,,112
"Zilboorg, Gregory",,,112
"Bower, B. M.",,,112
"Hartley, Florence",,,112
"Apollinaire, Guillaume",,,111
"Chase, Josephine",,,111
"Pater, Walter",,,111
"Guiney, Louise Imogen",,,111
"Rilke, Rainer Maria",,,111
"Haslehust, E. W.",,,111
"Swinburne, Algernon Charles",,,111
"Corelli, Marie",,,111
