Titulo Principal,Titulo Secundario,Autor,N° Ref
"Sinclair, Upton",,,415
"Castelo Branco, Camilo",,,412
"Patten, William",,,411
"Child, Lydia Maria",,,410
"Gosse, Edmund",,,409
"Dick, Philip K.",,,405
"Burnand, F. C.",,,405
"Baudelaire, Charles",,,405
"Pérez Galdós, Benito",,,404
"Graham, George R.",,,403
"Salten, Felix",,,400
"Pushkin, Aleksandr Sergeevich",,,398
"Payne, John",,,398
"James, G. P. R.",,,395
"Coleridge, Samuel Taylor",,,395
"Tocqueville, Alexis de",,,394
"Smith, E. Boyd",,,393
"France, Anatole",,,391
"Longfellow, Henry Wadsworth",,,391
"Engels, Friedrich",,,389
"Wells-Barnett, Ida B.",,,387
Euripides,,,384
"Kennedy, J. M.",,,384
"Yonge, Charlotte M.",,,383
"Smith, Adam",,,381
"Sunzi, active 6th century B.C.",,,377
"Hoffmann, Heinrich",,,376
Valmiki,,,374
"Morris, William",,,370
"Ebers, Georg",,,370
"Kean, Charles John",,,368
"Wauchope, George Armstrong",,,366
"Jókai, Mór",,,365
"Giles, Lionel",,,365
"Leblanc, Maurice",,,364
Thucydides,,,363
"Macaulay, G. C.",,,360
"Powell, Henry A.",,,359
"Magrath, Charles A.",,,359
"Haggard, H. Rider",,,359
"Gardner, Obadiah",,,359
"Mignault, P. B.",,,359
"Tawney, James A.",,,359
"Pine, Frank Woodworth",,,357
"Taylor, Bayard",,,356
"Paine, Thomas",,,356
"Turgenev, Ivan Sergeevich",,,356
"Woolf, Virginia",,,354
"Riis, Jacob A.",,,354
"Wheatley, Henry B.",,,354
"Marx, Karl",,,354
"Bacon, Francis",,,353
"Reeve, Henry",,,353
"Luther, Martin",,,351
"Descartes, René",,,350
"Sand, George",,,350
"Teixeira de Mattos, Alexander",,,348
"Baring-Gould, S.",,,348
"Borrow, George",,,346
"Crane, Stephen",,,346
"Lebert, Marie",,,345
"Macaulay, Thomas Babington Macaulay, Baron",,,343
"Crawley, Richard",,,343
"Hearn, Lafcadio",,,343
"Crane, Walter",,,341
Herodotus,,,341
"Samuel, Horace Barnett",,,338
"Fenn, George Manville",,,338
Molière,,,337
Plutarch,,,337
"Lindsay, Norman",,,337
"Kataja, Väinö",,,337
"Cotton, Charles",,,332
"Frazer, James George",,,331
"Meiklejohn, J. M. D.",,,330
"Jerome, Jerome K.",,,329
"Rhead, Louis",,,329
"Josephus, Flavius",,,328
"Jacobs, Harriet A.",,,328
Library of Congress. Copyright Office,,,327
"Bennett, Arnold",,,326
"Whitman, Walt",,,325
"Terry, W. E.",,,325
"Stratemeyer, Edward",,,324
"Ganguli, Kisari Mohan",,,323
"Figueiredo, Cândido de",,,321
"Grahame, Kenneth",,,321
"Saintsbury, George",,,320
"Bond, Nelson S.",,,320
"Aveling, Eleanor Marx",,,319
"Whiston, William",,,318
"Hemingway, Ernest",,,317
"Wollstonecraft, Mary",,,314
United States. Central Intelligence Agency,,,308
"Machen, Arthur",,,307
"Higginson, Thomas Wentworth",,,307
"Lindsay, Jack",,,307
"Marryat, Frederick",,,306
Boethius,,,305
"Harte, Bret",,,305
"La Fontaine, Jean de",,,304
"Gibbon, Edward",,,304
"Rowlandson, Mary White",,,304
"Gautier, Théophile",,,304
"Blasco Ibáñez, Vicente",,,304
"Mann, Thomas",,,303
"Lowell, James Russell",,,301
"Gibran, Kahlil",,,301
"Wormeley, Katharine Prescott",,,300
"Calderón, Sofronio G.",,,300
"Henderson, A. E.",,,300
"Oliphant, Mrs.",,,300
"Griffith, Ralph T. H.",,,300
"Clarke, Harry",,,300
"McMaster, Albert Cohn",,,300
"Quesada, Louise Charlotte Garstin",,,300
"Sue, Eugène",,,296
"Cruikshank, George",,,294
"Saunders, T. Bailey",,,294
"Spinoza, Benedictus de",,,294
"Queirós, Eça de",,,292
"Holmes, Oliver Wendell",,,291
"Platt, Rutherford Hayes",,,291
"Vonnegut, Kurt",,,290
"Parker, Gilbert",,,290
"Jefferson, Thomas",,,290
"Blavatsky, H. P.",,,290
"Bunyan, John",,,288
"Winter, Milo",,,287
"Finlay, Virgil",,,286
"Clark, William George",,,286
"Freas, Kelly",,,285
"Berens, E. M.",,,281
"Gorky, Maksim",,,280
"De Quincey, Thomas",,,280
"Pyle, Howard",,,279
"Mencken, H. L.",,,279
"Morris, Richard",,,278
"Davidson, Thomas",,,278
"Stockton, Frank R.",,,277
"Wordsworth, William",,,276
"Strunk, William",,,276
"Meredith, George",,,276
"Elwes, R. H. M.",,,276
"Starr, Frederick",,,274
"Garrett, Randall",,,273
"FitzGerald, Edward",,,272
"Dryden, John",,,268
"Vernon Jones, V. S.",,,268
"Pepys, Samuel",,,266
"Synge, J. M.",,,265
"Marriage, Ellen",,,265
"Johnson, Samuel",,,265
"Cleland, John",,,264
"Ward, Humphry, Mrs.",,,264
"Erasmus, Desiderius",,,264
"Walpole, Horace",,,263
"Holbein, Hans",,,262
"Ellis, Edward Sylvester",,,261
"Hellis, Nellie",,,261
"James, H. R.",,,261
"Strindberg, August",,,261
"Orczy, Emmuska Orczy, Baroness",,,260
"Rhys, Ernest",,,259
"Lawrence, Frederic William",,,259
"Tenniel, John",,,259
"Glover, John, librarian of Trinity College, Cambridge",,,259
"Kirtlan, Ernest J. B.",,,259
"Braybrooke, Richard Griffin, Baron",,,258
"Abbott, Jacob",,,257
"Bright, Mynors",,,254
"Jacobs, Joseph",,,252
"Rand, Ayn",,,252
"Le Queux, William",,,251
"Leroux, Gaston",,,250
Laozi,,,250
"Flameng, François",,,249
"Wiggin, Kate Douglas Smith",,,248
"Rostand, Edmond",,,247
"Webster, John",,,246
"Selby-Bigge, L. A.",,,245
"Braddon, M. E.",,,244
"Tennyson, Alfred Tennyson, Baron",,,244
"Washington, Booker T.",,,244
"Pascal, Blaise",,,244
"Andreyev, Leonid",,,244
"Thurston, Edgar",,,244
"Maugham, W. Somerset",,,243
"Owen, Will",,,241
"Hammerton, J. A.",,,241
"Steele, Richard, Sir",,,241
"AlHydar, Majid",,,240
"Kingsley, Charles",,,240
"Ellis, Havelock",,,240
"Howard, Robert E.",,,240
Stendhal,,,239
"Camões, Luís de",,,237
"De Laurence, L. W.",,,236
"Seneca, Lucius Annaeus",,,236
"Addison, Joseph",,,235
"Dreiser, Theodore",,,235
"Fuqua, Robert",,,235
"Browne, Hablot Knight",,,234
"Atkinson, William Walker",,,234
"Hume, Fergus",,,233
"Polidori, John William",,,232
"Mérimée, Prosper",,,232
"Steele, Robert",,,229
"Yule, Henry, Sir",,,229
"Burke, Edmund",,,229
"Milman, Henry Hart",,,228
"Rogers, Walter S.",,,228
"Harper, Charles G.",,,227
"Maeterlinck, Maurice",,,227
"Chopin, Kate",,,226
Apicius,,,226
"Mabie, Hamilton Wright",,,226
Vitruvius Pollio,,,225
"Haussmann, William A.",,,225
"Record, Robert",,,224
"Stewart, Aubrey",,,223
"Alexander, de Villa Dei",,,222
"Sacro Bosco, Joannes de, active 1230",,,222
"Daudet, Alphonse",,,222
"Brinton, Daniel G.",,,221
"Sharp, Robert",,,220
"Harrison, James A.",,,220
"Browning, Elizabeth Barrett",,,220
"Cather, Willa",,,220
"Keats, John",,,220
"Lockwood, Ingersoll",,,218
"Huxley, Thomas Henry",,,218
"Boylan, R. Dillon",,,218
"Rolland, Romain",,,217
"Paget, Walter",,,217
"Grey, Zane",,,217
"Polo, Marco",,,217
"Vehling, Joseph Dommers",,,216
"Čapek, Karel",,,215
"Lever, Charles James",,,215
"Appleton, Victor",,,214
"Lincoln, Abraham",,,213
"Pound, Ezra",,,213
"Meade, L. T.",,,212
"Dulac, Edmund",,,211
"Leinster, Murray",,,211
"Dods, Marcus",,,210
"Piper, H. Beam",,,210
"Müller, F. Max",,,209
"Allen, Grant",,,209
"Lamb, Charles",,,209
"Paine, Albert Bigelow",,,208
"Motley, John Lothrop",,,208
"Willis, Nathaniel Parker",,,208
"Cordier, Henri",,,207
"Perrault, Charles",,,207
"Cohn, Paul V.",,,207
"Rusticiano, da Pisa",,,207
"Burroughs, John",,,207
"Legge, James",,,206
"Brill, A. A.",,,206
"Tacitus, Cornelius",,,204
"Reid, Mayne",,,204
"Hogarth, C. J.",,,203
"Rachinskii, Sergei Aleksandrovich",,,203
"Linnell, Bruce R.",,,202
"Conway, Moncure Daniel",,,202
"Vizetelly, Ernest Alfred",,,201
"Cole, G. D. H.",,,200
"Baroja, Pío",,,200
"Flaxman, John",,,199
"Fabre, Jean-Henri",,,199
"Benson, E. F.",,,199
"Ford, H. J.",,,199
"Browning, Robert",,,199
"Caldecott, Randolph",,,198
"Long, George",,,196
"James, M. R.",,,195
"Mille, Pierre",,,195
"Segalá y Estalella, Luis",,,194
"Lane-Poole, Stanley",,,194
"Beardsley, Aubrey",,,194
"Congreve, William",,,193
"Weyman, Stanley John",,,193
"Orban, Paul",,,193
"Wood, Henry, Mrs.",,,193
"Veitch, John",,,192
"Schoenherr, John",,,192
"Smith, Jessie Willcox",,,192
"Madison, James",,,191
"Shuckburgh, Evelyn S.",,,191
"Pimentel, Alberto",,,190
"Hills, E. C.",,,189
Snorri Sturluson,,,189
"Guerber, H. A.",,,189
"Hazlitt, William",,,189
"Arnold, Edwin, Sir",,,188
"McCauley, Harold W.",,,188
"Yonge, Charles Duke",,,188
"Benét, Stephen Vincent",,,188
"Hayashi, Kiyotoshi",,,188
"Quiller-Couch, Arthur",,,188
"Mariano, Patricio",,,188
"Richards, Laura Elizabeth Howe",,,187
"Dickinson, Emily",,,187
"Sterne, Laurence",,,187
"More, Thomas, Saint",,,186
"Davis, Richard Harding",,,186
"Cowper, William",,,186
"Oppenheim, E. Phillips",,,186
"Michelet, Jules",,,186
"Barnum, P. T.",,,186
"Wallace, Grace, Lady",,,185
Epictetus,,,184
"Ward, Grady",,,183
"Owen, Robert Emmett",,,183
"Hale, Edward Everett",,,183
"McManus, Blanche",,,183
"Butcher, S. H.",,,182
"Giles, J. A.",,,182
"Ross, Robert Baldwin",,,182
"Safford, Mary J.",,,182
"Vaughan, Robert",,,181
"Westerman, Percy F.",,,181
"Seltzer, Thomas",,,181
"Rosell, Cayetano",,,181
"Anderson, Sherwood",,,180
"Sabatini, Rafael",,,180
"Abbott, John S. C.",,,180
"Markham, Clements R.",,,179
"Radcliffe, Ann Ward",,,178
"Krohn, Julius",,,177
"Sienkiewicz, Henryk",,,177
"Harvey, William",,,177
"Clausewitz, Carl von",,,177
"Tarkington, Booth",,,177
"Waley, Arthur",,,177
"Hamilton, Alexander",,,176
"Dobson, Austin",,,176
"Giles, Herbert Allen",,,176
"Crawford, F. Marion",,,175
"Jay, John",,,175
"Martin, Eva",,,175
"Dexter, Timothy",,,175
"Martineau, Harriet",,,174
"Bradbury, Ray",,,174
"Mahan, A. T.",,,174
"Rabelais, François",,,174
"Wells, Carolyn",,,173
"Graham, J. J.",,,173
"Sharp, R. Farquharson",,,172
Machado de Assis,,,172
"Newton, Isaac",,,172
"Bogory, Natalie de",,,171
"Brasol, Boris",,,171
"Nilus, Sergiei",,,171
"Thwaites, Reuben Gold",,,171
"Lucas, E. V.",,,171
"Wyeth, N. C.",,,170
Petronius Arbiter,,,170
"Vasari, Giorgio",,,169
"Motteux, Peter Anthony",,,169
"Nohl, Ludwig",,,169
"Scott-Moncrieff, C. K.",,,169
"Cady, Harrison",,,169
"Firebaugh, W. C.",,,169
"Greenaway, Kate",,,167
"Petrarca, Francesco",,,167
"Spyri, Johanna",,,167
"Koteliansky, S. S.",,,167
"Wrenn, Charles L.",,,167
"Aycock, Roger D.",,,167
"McGuffey, William Holmes",,,167
"Stiles, William Curtis",,,166
"Selver, Paul",,,166
"Scott, Robert",,,166
"Rangachari, K.",,,166
"Playfair, Nigel",,,166
"Optic, Oliver",,,166
"Goldsmith, Oliver",,,166
"Rinehart, Mary Roberts",,,166
"Tracy, Louis",,,165
"Churchill, Winston",,,165
"Mansfield, Katherine",,,164
United States. National Park Service,,,164
"Urquhart, Thomas, Sir",,,164
"Vestal, Herman B.",,,164
"Leacock, Stephen",,,164
"Abbott, Thomas Kingsmill",,,164
"Lane, Edward William",,,164
"Rilke, Rainer Maria",,,163
"Lessing, Gotthold Ephraim",,,163
Confucius,,,162
"Harris, Joel Chandler",,,162
"Kuprin, A. I.",,,162
"Ashton, John",,,162
"Besant, Annie",,,162
"Grant, James",,,162
"Southey, Robert",,,161
"Weston, Jessie L.",,,161
"Collodi, Carlo",,,161
"Bainville, Jacques",,,161
"Eliot, Charles William",,,161
"Seton, Ernest Thompson",,,161
"Barrows, David P.",,,161
"Casas, Bartolomé de las",,,160
"Smiles, Samuel",,,160
"Cobb, Irvin S.",,,160
"Herzl, Theodor",,,160
"Hope, Laura Lee",,,160
"Selous, Frederick Courteney",,,159
"Richardson, Samuel",,,159
"Upton, George P.",,,159
"Roget, Peter Mark",,,159
"Sologub, Fyodor",,,158
"Disraeli, Benjamin, Earl of Beaconsfield",,,158
"Brooke, L. Leslie",,,158
"Forester, Thomas",,,158
"Burney, Fanny",,,158
"Becke, Louis",,,158
"Honig, Winfried",,,158
"Lagerlöf, Selma",,,157
"Webster, Jean",,,156
"Church, Alfred John",,,156
"Byington, Steven T.",,,156
"Aimard, Gustave",,,156
"Silverberg, Robert",,,155
"Lönnrot, Elias",,,155
"Goble, Warwick",,,155
"Sewell, Anna",,,155
"De Vere, Gaston du C.",,,154
"Lucian, of Samosata",,,154
Aeschylus,,,154
"Poole, Edward Stanley",,,154
"Santayana, George",,,154
Ouida,,,154
"Onerva, L.",,,153
"Anderson, Rasmus Björn",,,153
"Sayce, A. H.",,,153
"Sellar, A. M.",,,151
"Lodge, Henry Cabot",,,151
"Bede, the Venerable, Saint",,,151
"Bradley, A. C.",,,151
"Lamb, Mary",,,151
"Molesworth, Mrs.",,,151
"Roberts, Charles G. D., Sir",,,151
"Curtin, Jeremiah",,,151
"Bourrienne, Louis Antoine Fauvelet de",,,150
"Thomson, Alexander, M.D.",,,150
"Nicoll, W. Robertson",,,150
"Phipps, Ramsay Weston",,,150
Omar Khayyam,,,150
Suetonius,,,150
Livy,,,149
"Díaz del Castillo, Bernal",,,149
"Bridgman, L. J.",,,149
"Oman, Charles",,,149
"Masters, Edgar Lee",,,148
"Newman, John Henry",,,148
"Barbour, Ralph Henry",,,148
"Kirk, Maria Louise",,,148
"Weir, Harrison",,,148
"Morley, John",,,147
"Relyea, C. M.",,,147
"Baldwin, James",,,146
"Chinnock, Edward James",,,146
"Francis, Dick",,,146
"Leiber, Fritz",,,146
"Patterson, J. H.",,,146
"Turpin, Edna Henry Lee",,,146
"Pigafetta, Antonio",,,146
Arrian,,,146
"Blackmore, R. D.",,,146
Erckmann-Chatrian,,,145
"Williams, George Alfred",,,145
"Freeman, Mary Eleanor Wilkins",,,145
Northern Nut Growers Association,,,145
"Bein, Alex",,,144
"Lipsky, Louis",,,144
"Keller, Helen",,,144
"Hawthorne, Julian",,,144
"Edgeworth, Maria",,,144
"Ingersoll, Robert Green",,,143
"Hewlett, Maurice",,,143
"Loti, Pierre",,,143
"Beerbohm, Max, Sir",,,143
"Waller, A. R.",,,143
"Northup, Solomon",,,143
"Singleton, Esther",,,142
"Dunsany, Lord",,,142
"Scott, Cyril",,,142
"Alkio, Santeri",,,141
"Hare, T. Leman",,,141
"Knight, William Angus",,,141
"Heine, Heinrich",,,141
"Hill, Grace Livingston",,,140
"Brazil, Angela",,,140
"Calderón de la Barca, Pedro",,,140
"Hughes, Thomas",,,140
"Hudson, W. H.",,,140
"Field, Claud",,,139
"Smith, Mary Campbell",,,139
"Jiménez, Juan Ramón",,,139
"Castlemon, Harry",,,139
"Morley, Christopher",,,138
"Frost, Robert",,,138
"Lear, Edward",,,138
"Bedford, F. D.",,,138
"Marsh, Arthur Richmond",,,138
"Fiske, John",,,138
"Hope, Anthony",,,138
"Reynolds, Francis J.",,,138
"Symonds, John Addington",,,137
"Humboldt, Alexander von",,,137
"Shoghi, Effendi",,,137
"Griffis, William Elliot",,,137
"Bradley, Marion Zimmer",,,137
"Busch, Wilhelm",,,136
"Hakluyt, Richard",,,136
"Hurlbut, Jesse Lyman",,,136
"Buchan, John",,,136
"Rohmer, Sax",,,136
"Mackail, J. W.",,,135
"Green, Anna Katharine",,,135
"Marlowe, Stephen",,,135
"Musset, Alfred de",,,135
"Taine, Hippolyte",,,135
"Esenwein, J. Berg",,,134
United States,,,134
"Mayhew, A. L.",,,134
"Shelley, Percy Bysshe",,,134
"Haeckel, Ernst",,,134
"Artsybashev, M.",,,133
"Grant, Ulysses S.",,,133
"Zangwill, Israel",,,133
"Coleridge, Ernest Hartley",,,133
"Beard, Daniel Carter",,,133
"Hancock, H. Irving",,,133
"Bourget, Paul",,,132
"Wall, Charles Heron",,,132
"Spillan, D.",,,132
"Unamuno, Miguel de",,,132
"Korolenko, Vladimir Galaktionovich",,,131
"Bates, Harry",,,131
"Durkheim, Émile",,,131
Horace,,,131
"Huysmans, J.-K.",,,131
"Lewis, Sinclair",,,131
"Bindloss, Harold",,,130
"Stein, Gertrude",,,130
"Leonardo, da Vinci",,,130
"Coolidge, Susan",,,130
"Besant, Walter",,,130
"Darío, Rubén",,,130
"Wise, Thomas James",,,129
"Porter, Eleanor H.",,,129
"Standish, Burt L.",,,129
"Finley, Martha",,,129
"Powell, John Wesley",,,129
"Opdycke, Leonard Eckstein",,,129
"Morris, Charles",,,129
"Castiglione, Baldassarre, conte",,,129
"Boswell, James",,,128
"Saltykov, Mikhail Evgrafovich",,,128
"Roessler, Erwin W.",,,128
"Windsor, H. H.",,,128
"Vaizey, George de Horne, Mrs.",,,128
"Remy, Alfred",,,128
"Bangs, John Kendrick",,,128
"Wraxall, Lascelles, Sir",,,128
"Macy, John Albert",,,128
"Denslow, W. W.",,,127
"Caxton, William",,,127
"Williamson, A. M.",,,127
"Couperus, Louis",,,127
"Reinhardt, Louise",,,127
"O'Brien, Edward J.",,,126
"Copeland, Charles",,,126
"Glover, Arnold",,,126
"Thomas, Gladys",,,126
"Cajander, Paavo Emil",,,126
"Guillemard, Mary F.",,,126
"Kerr, Robert",,,126
"Hotten, John Camden",,,125
"Van Dyke, Henry",,,125
"Mooney, James",,,125
"Féval, Paul",,,125
"Douglas, Alfred Bruce",,,125
"Rainey, W.",,,125
"Arthur, T. S.",,,124
"Miller, Francis Trevelyan",,,124
"Garshin, V. M.",,,123
"Potapenko, I. N.",,,123
"Hartley, Florence",,,123
"Craik, Dinah Maria Mulock",,,123
"Hoffmann, E. T. A.",,,123
"Burns, Robert",,,123
"Semenov, S. T.",,,123
"Bransom, Paul",,,122
"Armour, Margaret",,,122
"Neuville, Alphonse Marie de",,,122
"Hornung, E. W.",,,122
"Goldfrap, John Henry",,,122
"Millar, H. R.",,,122
"Valéry, Paul",,,122
"Saint-Simon, Louis de Rouvroy, duc de",,,122
"Mickiewicz, Adam",,,122
"Chesnutt, Charles W.",,,122
"Sinclair, May",,,121
"Corelli, Marie",,,121
"Curtis, George William",,,121
"Malot, Hector",,,121
"Hegel, Georg Wilhelm Friedrich",,,121
"Bailey, Arthur Scott",,,121
"Wedekind, Frank",,,121
"Nicholson, Meredith",,,120
"Pu, Songling",,,120
"Kuperman, Leon",,,120
"Speed, Lancelot",,,120
"Wu, Jianren",,,120
"Walpole, Hugh",,,120
"Sayers, Dorothy L.",,,120
"Smith, E. E.",,,120
"Allen, James",,,119
"Aranda y Sanjuan, Manuel",,,119
"Haldane, R. B. Haldane",,,119
"Johnson, Rossiter",,,119
"Scott, A. O.",,,119
"Roberts, B. H.",,,119
"Lockhart, John Ingram",,,118
"Dodge, Mary Mapes",,,118
"Mackay, Charles",,,118
"Sibbald, James Romanes",,,118
"White, Stewart Edward",,,118
"Apollonius, Rhodius",,,118
"Jung, C. G.",,,118
"Claretie, Jules",,,118
"Atherton, Gertrude Franklin Horn",,,118
"Van Dongen, H. R.",,,118
"Aho, Juhani",,,118
"Townsend, George Fyler",,,117
"Benson, Arthur Christopher",,,117
"Penrose, Margaret",,,117
"Richardson, James D.",,,116
"About, Edmond",,,116
"Colum, Padraic",,,116
"Marden, Orison Swett",,,116
"De Presno, Odd",,,116
"Herford, Oliver",,,116
"Topelius, Zacharias",,,116
Sappho,,,116
Saki,,,115
"Coppée, François",,,115
"Abelard, Peter",,,115
"Holbach, Paul Henri Thiry, baron d'",,,115
"Alarcón, Pedro Antonio de",,,115
"Wallace, Edgar",,,115
"Crompton, Richmal",,,115
"Gerard, E.",,,115
"Mudie, H. Bolingbroke",,,114
"Leadbeater, C. W.",,,114
"Brooke, Rupert",,,114
"Kemp, J.",,,114
"Collingwood, Harry",,,114
"Wheatley, Phillis",,,114
"Anderson, Poul",,,114
"Hamsun, Knut",,,114
"Churchill, Allen L.",,,114
"Crooke, William",,,114
"Parrish, Maxfield",,,114
"Frost, A. B.",,,113
"Martin, Theodore, Sir",,,113
"Robinson, Charles",,,113
"Swain, Joseph Ward",,,113
"Sheckley, Robert",,,113
"Spence, Lewis",,,113
"Gay, John",,,113
"Fraser, Claud Lovat",,,113
"Holmes, Oliver Wendell",,,112
"Housman, A. E.",,,112
"Fletcher, J. S.",,,112
"Wood, James, Rev.",,,112
"Einstein, Albert",,,112
"Carter, Nicholas",,,112
"Goldman, Emma",,,112
"Laclos, Choderlos de",,,112
"Williamson, C. N.",,,112
"Strang, Herbert",,,112
"De Sanctis, Francesco",,,111
"Huxley, Aldous",,,111
"Summers, Leo",,,111
"Patmore, Coventry",,,111
"Tangerud, Odd",,,111
"Lamartine, Alphonse de",,,111
"Murray, David Christie",,,111
"Allinson, A. R.",,,111
"Leslie, Eliza",,,110
"Gruelle, Johnny",,,110
"Doctorow, Cory",,,110
"Casanova, Giacomo",,,110
"Foxe, John",,,110
"Seaton, R. C.",,,110
"Gregory, Lady",,,110
"Bower, B. M.",,,110
"Hamilton, Edmond",,,109
"Garnett, Richard",,,109
"Whittier, John Greenleaf",,,109
"Johnston, Annie F.",,,109
Héloïse,,,109
"Apollinaire, Guillaume",,,109
A. L. O. E.,,,109
"Castaigne, J. André",,,109
"Krehbiel, Henry Edward",,,108
"Stacpoole, H. De Vere",,,108
"Pater, Walter",,,108
"Hall, E. Raymond",,,108
"Brontë, Anne",,,108
"Wyss, Johann David",,,108
"Stickney, J. H.",,,108
"De la Mare, Walter",,,108
"Caine, Hall, Sir",,,108
"Pennell, Joseph",,,108
"Thérèse, de Lisieux, Saint",,,108
"Stedman, Edmund Clarence",,,107
"Haslehust, E. W.",,,107
"Kornbluth, C. M.",,,107
"Marsh, Richard",,,107
"Mansfield, M. F.",,,107
"Stevenson, Burton Egbert",,,107
"Ainsworth, William Harrison",,,107
"Christy, Howard Chandler",,,107
"Ingram, John Henry",,,106
"Goldsmith, Wallace",,,106
"Montagu, Basil",,,106
"Kilmer, Joyce",,,106
"Abbott, Edwin Abbott",,,106
"Hardy, G. H.",,,106
"Smith, Francis Hopkinson",,,106
"Peters, Charles, active 1880-1907",,,106
"Miall, Bernard",,,106
"Inchbald, Mrs.",,,105
"Paul, Frank R.",,,105
"Leslie, Madeline",,,105
"Mee, Arthur",,,105
"Phillpotts, Eden",,,105
"Smith, George O.",,,105
"Charton, Édouard",,,105
"Smith, Joseph, Jr.",,,105
"Altsheler, Joseph A.",,,105
"Bunner, H. C.",,,104
"Lankester, E. Ray",,,104
"Bocage, Manuel Maria Barbosa du",,,104
"Luce, Edmund",,,104
"De Amicis, Edmondo",,,104
"Stables, Gordon",,,104
"Bensusan, S. L.",,,104
"Spiers, A.",,,104
"Zilboorg, Gregory",,,104
"Hubbard, Elbert",,,104
"Osborn, Henry Fairfield",,,104
"Hayes, Clair W.",,,104
"Crockett, S. R.",,,104
"Adams, Henry",,,104
"Maspero, G.",,,103
Murasaki Shikibu,,,103
"Kennedy, John F.",,,103
"Wright, Thomas",,,103
"Chateaubriand, François-René, vicomte de",,,103
"Napoleon I, Emperor of the French",,,103
"Blanchard, Amy Ella",,,103
"Cole, Mabel Cook",,,103
"French, Joseph Lewis",,,103
"Masefield, John",,,102
"Warrack, G.",,,102
"Julian, of Norwich",,,102
"Schreiner, Olive",,,102
"Mather, Cotton",,,102
Frankenstein,The Modern Prometheus,Mary Wollstonecraft Shelley,35731
Pride and Prejudice,,Jane Austen,18233
Romeo and Juliet,,William Shakespeare,18176
Moby Dick,The Whale,"Dick; Or, The Whale by Herman Melville",17833
Middlemarch,,George Eliot,12771
The Scarlet Letter,,Nathaniel Hawthorne,12573
A Room with a View,,E. M.  Forster,12517
The Complete Works of William Shakespeare,,William Shakespeare,12506
Alice's Adventures in Wonderland,,Lewis Carroll,12127
Little Women,"Meg, Jo, Beth, and Amy",Louisa May Alcott,11855
The Blue Castle: a novel,,L. M.  Montgomery,10764
The Enchanted April,,Elizabeth Von Arnim,10723
Cranford,,Elizabeth Cleghorn Gaskell,9989
The Adventures of Ferdinand Count Fathom — Complete,,T.  Smollett,9946
The Expedition of Humphry Clinker,,T.  Smollett,9837
"History of Tom Jones, a Foundling",,Henry Fielding,9765
The Adventures of Roderick Random,,T.  Smollett,9638
My Life — Volume 1,,Richard Wagner,9548
Twenty years after,,Alexandre Dumas and Auguste Maquet,9538
A Doll's House : a play,,Henrik Ibsen,8803
The Legend of Sleepy Hollow,,Washington Irving,8372
Dracula,,Bram Stoker,8194
The Picture of Dorian Gray,,Oscar Wilde,8132
Metamorphosis,,Franz Kafka,7513
The Great Gatsby,,by F. Scott  Fitzgerald,7472
Adventures of Huckleberry Finn,,Mark Twain,7051
The Strange Case of Dr. Jekyll and Mr. Hyde,,Robert Louis Stevenson,6674
The Yellow Wallpaper,,Charlotte Perkins Gilman,6624
The Importance of Being Earnest: A Trivial Comedy for Serious People,,Oscar Wilde,6270
A Modest Proposal,,Jonathan Swift,6000
A Tale of Two Cities,,Charles Dickens,5589
Crime and Punishment,,Fyodor Dostoyevsky,5503
Leviathan,,Thomas Hobbes,5300
A Christmas Carol in Prose; Being a Ghost Story of Christmas,,Charles Dickens,5262
Beowulf: An Anglo-Saxon Epic Poem,,,5195
The Souls of Black Folk,,W. E. B.  Du Bois,5140
The Adventures of Sherlock Holmes,,Arthur Conan Doyle,4790
Great Expectations,,Charles Dickens,4749
Thus Spake Zarathustra: A Book for All and None,,Friedrich Wilhelm Nietzsche,4669
The Brothers Karamazov,,Fyodor Dostoyevsky,4640
Jane Eyre: An Autobiography,,Charlotte Brontë,4532
The Prince,,Niccolò Machiavelli,4483
The Iliad,,Homer,4369
Ulysses,,James Joyce,4296
Grimms' Fairy Tales,,Jacob Grimm and Wilhelm Grimm,4216
Don Quijote,,Miguel de Cervantes Saavedra,4155
Second Treatise of Government,,John Locke,4142
Heart of Darkness,,Joseph Conrad,4108
"The Adventures of Tom Sawyer, Complete",,Mark Twain,3948
The Odyssey,,Homer,3859
The Count of Monte Cristo,,Alexandre Dumas and Auguste Maquet,3708
Beyond Good and Evil,,Friedrich Wilhelm Nietzsche,3691
The Confessions of St. Augustine,,Bishop of Hippo Saint Augustine,3586
War and Peace,,graf Leo Tolstoy,3579
Wuthering Heights,,Emily Brontë,3525
Tractatus Logico-Philosophicus,,Ludwig Wittgenstein,3472
"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African","Gustavus Vassa, The African",Equiano,3308
Du côté de chez Swann,,Marcel Proust,3281
"Narrative of the Life of Frederick Douglass, an American Slave",,Frederick Douglass,3274
"Walden, and On The Duty Of Civil Disobedience",,Henry David Thoreau,3208
The Republic,,Plato,3185
White Nights and Other Stories,,Fyodor Dostoyevsky,3098
The Works of Edgar Allan Poe — Volume 2,,Edgar Allan Poe,3095
Don Quixote,,Miguel de Cervantes Saavedra,3061
Doctrina Christiana,,,3048
Chambers's Twentieth Century Dictionary,,,3033
The King in Yellow,,Robert W.  Chambers,3018
