Titulo Principal,Titulo Secundario,Autor,N° Ref
Lysistrata,,Aristophanes,307
The Turn of the Screw,,Henry James,307
Novo dicionário da língua portuguesa,,Cândido de Figueiredo,305
Sense and Sensibility,,Jane Austen,304
A Portrait of the Artist as a Young Man,,James Joyce,295
Persuasion,,Jane Austen,295
The King James Version of the Bible,,,294
Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,,Mary White Rowlandson,293
An Inquiry into the Nature and Causes of the Wealth of Nations,,Adam Smith,293
The First Book of Adam and Eve,,Rutherford Hayes Platt,291
"The Rámáyan of Válmíki, translated into English verse",,Valmiki,290
Madame Bovary,,Gustave Flaubert,289
Emma,,Jane Austen,287
A Christmas Carol,,Charles Dickens,285
Wood-folk comedies :,,William J.  Long,283
The Genealogy of Morals,,Friedrich Wilhelm Nietzsche,282
Myths and Legends of Ancient Greece and Rome,,E. M. Berens,281
Notes from the Underground,,Fyodor Dostoyevsky,279
The Anglo-Egyptian Sudan: a compendium prepared,,"officers of the Sudan government, Vol. 1",277
The Elements of Style,,William Strunk,276
The Time Machine,,H. G.  Wells,271
The Art of War,,active 6th century B.C. Sunzi,265
The Prophet,,Kahlil Gibran,265
Left with a trust,,Nellie Hellis,261
De Profundis,,Oscar Wilde,261
The Social Cancer: A Complete English Version of Noli Me Tangere,,José Rizal,260
"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose",,,259
Pygmalion,,Bernard Shaw,258
Faust [part 1]. Translated Into English in the Original Metres,,Johann Wolfgang von Goethe,258
2 B R 0 2 B,,Kurt Vonnegut,255
"Hamlet, Prince of Denmark",,William Shakespeare,253
Anna Karenina,,graf Leo Tolstoy,252
Daddy Takes Us to the Garden,,Howard Roger Garis,248
Chambers's Twentieth Century Dictionary,,,246
Ethan Frome,,Edith Wharton,245
An Enquiry Concerning Human Understanding,,David Hume,245
Through the Looking-Glass,,Lewis Carroll,245
The Anglo-Egyptian Sudan: a compendium prepared,,"officers of the Sudan government, Vol. 2",243
"Poems, with The Ballad of Reading Gaol",,Oscar Wilde,242
Siddhartha,,Hermann Hesse,240
Northanger Abbey,,Jane Austen,240
Anthem,,Ayn Rand,240
Tribute to Michael Hart,,Majid AlHydar,240
Struwwelpeter: Merry Stories and Funny Pictures,,Heinrich Hoffmann,239
Notre-Dame de Paris - Tome 1,,Victor Hugo,239
The Reign of Greed,,José Rizal,236
Pascal's Pensées,,Blaise Pascal,234
Essays of Michel de Montaigne — Complete,,Michel de Montaigne,232
Uncle Tom's Cabin,,Harriet Beecher Stowe,232
The Secret Garden,,Frances Hodgson Burnett,231
The Sign of the Four,,Arthur Conan Doyle,227
Ethics,,Benedictus de Spinoza,226
The Prince and the Pauper,,Mark Twain,226
Sir Gawayne and the Green Knight,,,226
On the Origin of Species By Means of Natural Selection,,Charles Darwin,226
"The Birth of Tragedy; or, Hellenism and Pessimism",,Friedrich Wilhelm Nietzsche,225
The Vampyre; a Tale,,John William Polidori,225
Diccionario Ingles-Español-Tagalog,,Sofronio G. Calderón,225
The Invisible Man: A Grotesque Romance,,H. G.  Wells,224
Common Sense,,Thomas Paine,223
Songs of Innocence and of Experience,,William Blake,222
The Earliest Arithmetics in English,,,222
"Chaucer's Works, Volume 4 — The Canterbury Tales",,Geoffrey Chaucer,220
Childe Harold's Pilgrimage,,Baron George Gordon Byron Byron,220
Hard Times,,Charles Dickens,218
The Duchess of Malfi,,John Webster,218
Cookery and Dining in Imperial Rome,,Apicius,216
Twenty Thousand Leagues under the Sea,,Jules Verne,215
How the Other Half Lives: Studies Among the Tenements of New York,,Jacob A.  Riis,214
The Red Room,,H. G.  Wells,212
The Consolation of Philosophy,,Boethius,210
Nature,,Ralph Waldo Emerson,208
The History of Herodotus — Volume 1,,Herodotus,208
Hedda Gabler,,Henrik Ibsen,208
Phaedrus,,Plato,207
Memoirs of Fanny Hill,,John Cleland,206
The Red Record,,Ida B. Wells-Barnett,206
The Sea-Gull,,Anton Pavlovich Chekhov,205
The Jungle,,Upton Sinclair,205
Democracy in America — Volume 1,,Alexis de Tocqueville,204
The call of the wild,,Jack London,204
The Communist Manifesto,,Friedrich Engels and Karl Marx,204
The Castle of Otranto,,Horace Walpole,203
1001 задача для умственного счета,,Sergei Aleksandrovich Rachinskii,203
Macbeth,,William Shakespeare,202
The Sorrows of Young Werther,,Johann Wolfgang von Goethe,200
"The lesser Key of Solomon, Goetia, the book of evil spirits :",,,200
